helix	Hyd	HMom	 z 	FreqPolar	FreqNonPolar
    1	0.261	0.039	 -2	   0.611	   0.389
    2	0.357	0.070	 -2	   0.556	   0.444
    3	0.412	0.096	 -2	   0.556	   0.444
    4	0.282	0.216	 -3	   0.611	   0.389
    5	0.224	0.228	 -4	   0.611	   0.389
    6	0.367	0.370	 -3	   0.556	   0.444
    7	0.327	0.375	 -4	   0.556	   0.444
    8	0.324	0.377	 -4	   0.556	   0.444
    9	0.364	0.399	 -4	   0.500	   0.500
   10	0.411	0.432	 -4	   0.500	   0.500
   11	0.355	0.477	 -4	   0.556	   0.444
   12	0.402	0.459	 -4	   0.556	   0.444
   13	0.462	0.519	 -4	   0.556	   0.444
   14	0.514	0.520	 -5	   0.556	   0.444
   15	0.512	0.522	 -5	   0.556	   0.444
   16	0.536	0.529	 -4	   0.556	   0.444
   17	0.386	0.404	 -3	   0.611	   0.389
   18	0.429	0.373	 -2	   0.611	   0.389
   19	0.376	0.406	 -1	   0.611	   0.389
   20	0.227	0.290	  0	   0.667	   0.333
   21	0.130	0.243	  0	   0.722	   0.278
   22	0.130	0.243	  0	   0.722	   0.278
   23	0.213	0.258	  1	   0.667	   0.333
   24	0.058	0.144	  2	   0.722	   0.278
   25	0.044	0.157	  4	   0.722	   0.278
   26	0.047	0.156	  4	   0.722	   0.278
   27	0.106	0.216	  4	   0.722	   0.278
   28	0.047	0.236	  4	   0.722	   0.278
   29	0.047	0.236	  4	   0.722	   0.278
   30	-0.036	0.185	  4	   0.722	   0.278
   31	-0.192	0.116	  5	   0.778	   0.222
   32	-0.091	0.034	  5	   0.722	   0.278
   33	-0.021	0.104	  5	   0.667	   0.333
   34	0.092	0.142	  5	   0.611	   0.389
   35	0.104	0.132	  3	   0.611	   0.389
   36	0.061	0.156	  2	   0.611	   0.389
   37	0.073	0.167	  0	   0.611	   0.389
   38	0.126	0.191	 -1	   0.611	   0.389
   39	0.168	0.153	 -1	   0.556	   0.444
   40	0.272	0.152	  0	   0.500	   0.500
   41	0.249	0.132	  0	   0.500	   0.500
   42	0.292	0.107	 -1	   0.500	   0.500
   43	0.348	0.071	 -2	   0.500	   0.500
   44	0.293	0.022	 -1	   0.500	   0.500
   45	0.233	0.048	 -1	   0.500	   0.500
   46	0.138	0.114	  0	   0.556	   0.444
   47	0.086	0.095	  1	   0.556	   0.444
   48	0.012	0.033	  2	   0.611	   0.389
   49	0.168	0.126	  1	   0.556	   0.444
   50	0.163	0.127	  1	   0.556	   0.444
   51	0.095	0.190	  1	   0.611	   0.389
   52	0.089	0.187	  1	   0.611	   0.389
   53	0.232	0.313	  2	   0.556	   0.444
